REF,Company (Manufacturer),Company Location,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent (%),Ingredients,Most Memorable Characteristics,Rating
478,137,18,57,283,71.65558252427185,5,755,3.0
558,137,18,14,734,72.0,5,877,2.5
558,137,18,53,1297,72.0,5,565,3.0
558,137,18,26,595,72.0,5,1290,3.25
558,137,18,57,938,72.0,5,1282,3.25
813,137,18,18,500,71.65558252427185,5,1638,3.5
817,137,18,14,434,71.65558252427185,19,905,1.5
821,137,18,2,1321,71.65558252427185,5,373,3.75
959,137,18,28,749,70.0,5,1619,3.5
1984,137,18,18,499,75.0,5,1305,3.75
48,138,3,2,1196,70.0,19,1990,1.0
971,139,1,49,1258,75.0,5,1749,3.25
975,139,1,16,894,67.0,5,12,3.25
975,139,1,34,399,75.0,5,1611,3.5
1283,139,1,34,897,70.0,5,1999,2.5
1335,139,1,56,1347,71.65558252427185,5,34,2.75
1736,140,57,14,1404,71.65558252427185,5,324,3.75
2466,141,57,13,1401,70.0,1,459,3.25
2466,141,57,8,88,70.0,1,1202,3.25
2466,141,57,22,1363,71.65558252427185,1,42,3.5
2502,141,57,14,226,71.65558252427185,1,93,3.25
2656,141,57,23,67,70.0,1,1817,3.75
2720,70,57,20,454,72.0,1,1837,3.5
2724,70,57,31,680,72.0,1,1091,3.5
2724,70,57,22,689,71.65558252427185,1,718,3.0
2522,142,57,21,1022,70.0,5,1429,3.5
2522,142,57,1,833,75.0,5,1386,3.5
2526,142,57,20,701,70.0,5,1600,3.25
2526,142,57,30,1247,70.0,5,1378,3.5
2622,143,32,30,325,71.65558252427185,1,463,3.75
785,146,1,0,382,70.0,16,2018,3.25
1654,146,1,0,512,70.0,5,1528,2.75
1928,147,57,13,412,72.0,1,875,2.75
1610,148,56,53,1113,70.0,5,731,3.0
1610,148,56,14,731,70.0,5,696,3.5
1666,148,56,19,363,71.65558252427185,5,1269,2.25
1666,148,56,31,922,70.0,5,1294,2.75
2574,149,57,37,1083,71.65558252427185,12,879,2.5
2574,149,57,23,61,72.0,12,739,3.0
2574,149,57,35,1332,72.0,12,1385,3.5
805,150,57,10,1336,70.0,1,520,3.0
805,150,57,8,320,70.0,1,805,3.25
